"FAN"	460910	462360
"MAN"	462360	463610
"SIL"	463610	464410
"FAF"	464410	465410
"SIL"	465410	466220
"TVN"	466220	467540
"FAN"	467540	469180
"SIL"	469180	471150
"FAN"	471150	472150
"SIL"	472150	472950
"FAN"	472950	473650
"SIL"	473650	474540
"FAN"	474540	475350
"SIL"	475350	476240
"CXN"	476240	477100
"SIL"	477100	479220
"CXN"	479220	479820
"TVF"	479820	480850
"SIL"	480850	481650
"FAN"	481650	482250
"MAF"	482250	483250
"SIL"	483250	484190
"FAN"	484190	485960
"FAN"	485960	486710
"SIL"	486710	488010
"TVN"	488010	489010
"SIL"	489010	490960
"NON"	490960	491790
"SIL"	491790	492710
"NON"	492710	493310
"SIL"	493310	494470
"NOF"	494470	495270
"SIL"	495270	496930
"TVF"	496930	497930
"SIL"	497930	501030
"NOF"	501030	501830
"SIL"	501830	503300
"FAF"	503300	504300
"SIL"	504300	506280
"MAF"	506280	507280
"SIL"	507280	515530
"FAN"	515530	516330
"SIL"	516330	524960
"CXF"	524960	525560
"SIL"	525560	530060
"FAF"	530060	530660
"SIL"	530660	532600
"NOF"	532600	533400
"SIL"	533400	545970
"MAN"	545970	546970
"SIL"	546970	548780
"MAN"	548780	549780
"SIL"	549780	550580
"MAN"	550580	552060
"SIL"	552060	553740
"MAN"	553740	555310
"SIL"	555310	556110
"MAN"	556110	557600
"SIL"	557600	558400
"MAF"	558400	559590
"NOF"	559590	561500
"MAN"	561500	562520
"NOF"	562520	563340
"SIL"	563340	564140
"OLN"	564140	566140
"NOF"	566140	569690
"MAF"	569690	570740
"NOF"	570740	571770
"CXN"	571770	572460
"SIL"	572460	575270
"MAN"	575270	576270
"NON"	576270	577870
"SIL"	577870	579700
"FAN"	579700	580530
"SIL"	580530	581330
"FAN"	581330	582330
"SIL"	582330	583860
"NOF"	583860	584660
"SIL"	584660	586160
"CXN"	586160	586760
"SIL"	586760	587560
"MAF"	587560	589010
"SIL"	589010	591460
"FAN"	591460	592430
"SIL"	592430	593450
"FAN"	593450	594300
"SIL"	594300	595670
"CXF"	595670	596860
"MAN"	596860	598100
"FAF"	598100	599540
"CHN"	599540	600270
"NOF"	600270	601260
"CHN"	601260	601860
"OLF"	601860	603110
"CHN"	603110	603990
"FAN"	603990	605530
"FAN"	605530	606830
"NOF"	606830	607880
"CHN"	607880	608480
"NOF"	608480	609490
"SIL"	609490	610860
"NOF"	610860	611710
"CHN"	611710	613440
"FAN"	613440	614440
"SIL"	614440	615310
"NOF"	615310	616180
"CHN"	616180	616780
"SIL"	616780	617660
"FAN"	617660	618270
"NOF"	618270	619570
"FAN"	619570	620740
"OLN"	620740	621540
"FAN"	621540	622810
"SIL"	622810	623640
